"Organization","Address","Phone","URL","Description"
"Compass (Adolescent Residential Treatment Program)","","606-877-9999","","Adolescent Residential treatment program"
"Corbin Outreach and Regional","","606-528-7010","","Mental Health/Substance Abuse Services"
"Cumberland Hope Community","","606-837-0100","",""
"Cumberland River Behavioral Health Inc. (Comp Care)","http://www.crbhky.org/","","",""
"Grace Health","","606-594-4889","","Meantal Health/Substance Abuse Services"
"Hagars Well","","606-305-2760","http://hagarswellministries.org/","Chris Stanley on Hawk Creek Rd in London"
"Horizon Health","","606-215-0479","","Mental Health/Substance Abuse Services"
"House of Hope Ministry","455 London Dock Rd London, KY 40744","","","offers refuge, guidance and transformation to single, homeless women over the age of 18 who have completed a treatment program for substance abuse"
"Independence House","London, KY","606-523-9386","","Rehab for women"
"Laurel Co, Drug Court","London","606-330-2150","","Mental Health/Substance Abuse"
"Laurel Co, Agency for Substance Abuse Policy","London","606-877-8618","","Mental Health/Substance Abuse"
"Mental Health Services - Cumberland River Comprehensive Care Center","P.O. Box 360 Pittsburg, KY 40755","606-864-2104","","Community Mental Health Center, mental health assistance and service referrals; Substance abuse services; Intellectual or developmental disabilities services; Supportive Community Living programs; and children's services. Services provided in all counties in the Cumberland River ADD"
"Mindsight Behavioral Group","","606-401-2966","",""
"Narcotics Anonymous","http://www.na.org/","","",""
"Corbin Technology and Community Center","","606-7195","","mental health/substance abuse services"
"Judicial Annex Building","","800-407-7195","","mental health/substance abuse services"
"Sue Bennett Center","","800-407-7195","","mental health/substance abuse services"
"Operation Unite","","606-330-1400, 1-866-678-6483","","mental health/substance abuse services"
"Parachute Recovery Centers/Rural Mental Health Solutions","","606-862-0764","","mental health/substance abuse services"
"Project Daris (Substance Abuse Prevention Program K-12)","","606-401-6221","","mental health/substance abuse services"
"Recovery Ridge","London","859-972-5886","","Sober Living"
"Recovery Works","300 Carrera Dr. London, KY","606-260-8962","","mental health/substance abuse services/Sober Living"
"Renew Recovery","","606-802-7782","","mental health/substance abuse services"
"Sober Living ARC Addiction Recovery Care","","606-802-7782","http://www.arccenters.com","Provides housing for individuals that are coming out of a treatment center or have a criminal record."
"Stepworks Recovery Centers of London","","800-545-9031","","mental health/substance abuse services, men only,"
"Structure House Recovery","318 W. Dixie St. London, KY","606-312-3912","http://structurehouserecoveryllc.com/","recovery"
"The Next Chapter","London","606-376-7416","","Rehab"
"The Trillium Center","","606-528-1212","","mental health/substance abuse services"
"Turning Point","","606-526-1626","","mental health/substance abuse services"
"Wellness Recovery","","606-618-0125","","mental health/substance abuse services"
"CHFS Child Protective Services","","606-330-2003","","Parent/Child Services"
"CHI Saint Joseph London- Nurturing Children program","","606-330-7380","","Parent/Child Services"
"Court Appointed Special Advocate of Knox & Laurel Counties","","606-389-5968","","Parent/Child Services"
"Cumberland Valley Child Advocacy Center","","606-878-9116 or 1-877-597-2331","http://cv-cac.org/","Cabinet of Health and Family resources"
"Faith Assembly of God, Salt Ministry (Service and Love Together)","390 Faith Assembly of God Church London, KY 40741","606-864-9422","http://faithagky.com/ministries","fill out the form online to request assistance with childcare, utility bills, vehicle maintenance, medical and employment."
"Family Life Abuse Center","","606-256-9511, 1-800-755-5348","",""
"First Steps","","606-523-0229","","Parent/Child Services"
"KCEOC","","606-546-3152","","food assistance and Womens support center"
"Laurel Co. Health Department","","606-864-5187","","Parent/Child Services"
"Laurel Co. Life Center","","606-877-1717","","Parent/Child Services"
"Baptist Health Corbin","","606-528-1212","","Prenatal Providers"
"Grace Health","","606-528-5527","","Prenatal Providers"
"London Women's Care","","606-878-3240","","Prenatal Providers"
"New Hope Counceling & Recovery","","606-594-7479","http://www.nhcr4u.com/","Housing/emergencey housing, Dental, Mental health & Substance Abuse Assessments and counseling for all ages. Drug Screenings, DUI Assessments, IOP, MAT Counseling, Family Counseling, Couples Counseling, Domestic Violence, Anger Management, Parenting Classes"
"Tree of Life East Bernstadt","","606-657-1447","","Faith based, celebrate recovery, ask for Flora Profit. Opens April 19, 2024"
"Parkinsons in Motion - Jane Williams","","859-338-7430","",""
"Cumberland Valley Area District Development","","606-864-9121","","Transportation"
"RTEC","","606-256-9832 / 1-800-321-7832","","Transportation"
"CCC- Co-operative Com-munity Care","755 S Dixie St London, KY 40741","606-864-2351","","Helps with utilities; Applications on Tuesdays& Thursdays; Food Pantry Wednesday distribution, need card, ID, proof of income and proof of residence. Find us on FB"
"Corbin United Effort","","606-528-7523","","Food Assistance/ help with utilities"
"Daniel Boone Community Action","","606-864-2351","","Provides rent and lodging assistance, supportive services, utilities assistance and food pantry"
"Faith Assembly of God, Salt Ministry (Service and Love Together)","390 Faith Assembly of God Church London, KY 40741","606-864-9422","http://faithagky.com/ministries","fill out the form online to request assistance with childcare, utility bills, vehicle maintenance, medical and employment."
"KCEOC","","606-528-9531 / 606-546-3152","","Day Care /assistance with utilities"
"St William Catholic Church","521 W. 5th St London, KY 40741","606-864-7500","","Outreach - ask for Vickie or Judy; funds for rent and utilities (required documents include warrant check from the police dept., copy of the bill, I.D., and income infor.) Also, there's a blessing box in front of the church"
"Tri-County Food Assistance Network","","606-528-7523","","Provides low income services including rent and utility assistance; hygiene products; supplemental; USDA commodity, and emergency food to low income families in Knox, Whitley and Laurel Counties. Must meet eligibility guidelines and live in one of the servicing counties."
"Turnersville Christian Mission","200 Hwy 198 Stanford, KY 40484","859-583-8155","",""
"Perfect Imperfections","2161 Lexington Rd Richmond, KY 40475","859-368-0003","http://perfectimperfectionsky.com/","faith based treatment facility. Can accept couples"
"Housing Authority of Whitley City","488 St Hwy 2792 Pine Knot, KY 42635","606-354-2200","http://affordablehousing.com/",""
"The Next Chapter LLC Men's","Whitley City, KY","606-376-7416","","Faith Based, Will provide transport"
"The Next Chapter LLC Women's","Whitley City, KY","606-376-7414","","Faith Based, Will provide transport"
"Whitley City Treatment Center","Whitley City, KY","423-560-6594","http://recovery.org/",""
"Haven House Homeless Shelter","Hazzard, KY","606-436-5761","",""
"Housing Authority of Hazzard KY","100 Campbell St. Apt. A","606-436-5741","http://affordablehousing.com/",""
"Kentucky River Community Care","Hazzard, KY","606-436-1945","","call at 8:30 M-F"
"Whispering Pines","Hazzard, KY","606-438-5929","http://www.affordablehousing.com/","affordable housing"
"Bethany House, Abuse Shelter","Somerset","800-755-2017","",""
"God's Food Pantry","119S Central Ave Somerset, KY","606-679-8560","","Food Assistance"
"Help for Homeless","Somerset, KY","606-875-3893","",""
"High Street Baptist Church","102 Bourne Ave Somerset, KY","606-678-8973","","Food Assistance"
"Housing Authority of Somerset","400 Hail Knob Rd. Somerset, KY 42503","606-679-1332","http://affordablehousing.com/",""
"Life Abundant Ministries","303 S. Main St. Somerset, KY","606-677-0088","","Food assiatance"
"United Way","208 E. Mt Vernon St. Somerset, KY","606-679-2974","","Food Assistance"
"Anchored Ministries","Williamsburg, KY","606-765-7336","","free if no insurance"
"Appalachian Pheonix House - Cumberland River Comprehensive Care","401 Roy Kidd Ave Corbin, KY 40741","606-528-4381","","17-bed fully staffed residential program housing for mentally ill men and women. Clients focus on learning independent living skills."
"Baptist Health Trillium Center","1 Trillium Way #5 Corbin, Ky 40701","606-528-1212","http://baptisthealth.com/","detox"
"Bell-Whitley Community Action Agency, Inc.","U.S. Hwy 25W P.O. Box 427 Williamsburg, KY 40769","606-549-3933","","Food and shelter; natural disaster emergency funds"
"Catholic Church","76 W. Sycamore St Williamsburg, KY","606-549-2156","","food assistance"
"Cedaridge Ministries","Factory Ln Williamsburg, KY","606-549-1373","","food assistance"
"Corbin United Effort","311 Barbourville St. Corbin, KY 40701","606-528-7523","","Rental Assistance; supportive services; food pantry and utilities assistance."
"Cumberland River Behavioral Health Inc.","Corbin","606-526-9459","",""
"Cumberland Valley Domestic Violence Services","P.O. Box 2162 London, KY 40456","606-256-9511, 606-843-2022, or 800-755-5348 crisis line","http://cvdvs.org/","a safe and secure environment with food, clothing, basic necessities, a 20-bed emergency shelter and advocacy center for victims of domestic violence and their children in Cumberland Valley Area Development District."
"Cumberland Valley Regional Housing Authority","221 N. 3rd St. Williamsburg, KY 40769","","http://affordablehousing.com/",""
"Emergency Christian Ministries/shelter","630 South Hwy 25 P.O. Box 1107 Williamsburg, KY 40769","606-549-2922/ 606-400-1464 (leave a message)","","Men, women and children (75 beds - congregate facilitities, length of stay based on need) Food, clothing, and supportive services"
"First Baptist Church","401 N. Laurel Ave. Corbin, KY, 40701","606-528-4738","","Food Assistance"
"First Baptist Church","230 5th St Williamsburg, KY","606-549-0280","","food assistance"
"Housing Authority of Corbin","","","",""
"Independence House - Cumberland River Comprehensive Care","","606-523-9386","","Substance abuse treatment for women (5 beds - 6 month transitional program, 10 beds - 30 day treatment program)."
"Isaiah 58:10 Ministries and Outreach FB: Isaiah 58:10 Ministries & Outreach","","502-801-9119","http://is5810.com","We take sack lunches to the homeless and needy in our community. We also offer blankets, jackets and other cold weather supplies during the colder months, and we offer Resource Guides in case someone has specific needs that we can not provide, but we know where they can have that need met. Also we run the Soup Kitchen at the Good Samaritan House at 220 E. 4th St in London from 11-1, Mon, Tues, Thurs, Fri, and Sat."
"Medical and Mental Health Services - Cumberland River Comprehensive Care Center","P.O. Box 84 Williamsburg, KY 40769","606-549-1440","","Community Mental Health Center; mental health assistance and service referrals; Substance abuse services; Intellectual or developmental disabilities services; Supportive Community Living Programs; Childten's services; and First Steps/Early Intervention (CBIS). Services provided in all counties in the Cumberland River ADD"
"Mortgage and Credit Counseling - Apprisen","2265 Harrodsburg Rd Suite 303 Lexington, KY 40504","800-355-2227","http://apprisen.com/","Financial Advocates providing HUD-approved counseling when changes in your finances impact home ownership. We offer specific solutions for mortgage delinquency and forclosure prevention, and also provide reverse mortgage counceling. Appointments can be conducted by phone, on-line or face-to-face. Other locations in Louisville, Elizabethtown, and Florence."
"Mountian Outreach","Williamsburg, KY","800-343-1609","http://ucumberlands.edu/","provides food assistance, minor home repairs, house builds, minor construction projects, and other variou service projects"
"Permanent Housing - Mercy Mountain Housing","1866 Whetstone Rd. Rockholds, KY 40759","866-338-0557","","Rental and acquisition for transitional and permanent housing for low-income persons."
"Whitley County Health Department","368 Penny Ln. Williamsburg, KY 40769","606-549-3380","http://whitleycountyhealthdepartment.com/","The Whitley County Health Department provides many clinical services utilizing a staff of trained professionals that have many years of public health experience. These professionals include: Advanced Registered Nurse Practitioners, Registered Nurses, Nutritionists, Health Educators, Social Workers, Community Outreach Workers and contract Physicians."
"Williamsburg Housing Authority","600 Brush Arbour Church Rd. Williamsburg, KY","606-549-0282","http://affordablehousing.com/",""
